user_id,text,timestamp,label,domain,text_clean
1843,I enjoyed a nice walk outside,2024-08-27,0,unknown,I enjoyed a nice walk outside
322,I enjoyed spending time with friends,2024-12-12,0,unknown,I enjoyed spending time with friends
607,I feel hopeless about my future,2024-10-17,1,unknown,I feel hopeless about my future
1778,I can't find joy in anything,2024-03-26,1,unknown,I can't find joy in anything
218,I enjoyed spending time with friends,2024-12-12,0,unknown,I enjoyed spending time with friends
1069,I feel empty inside,2024-11-19,1,unknown,I feel empty inside
1972,I feel tired of everything,2024-03-17,1,unknown,I feel tired of everything
1162,I had a great day today,2024-07-07,0,unknown,I had a great day today
243,I had a great day today,2024-02-01,0,unknown,I had a great day today
1220,I have no motivation anymore,2024-03-09,1,unknown,I have no motivation anymore
824,I enjoyed spending time with friends,2024-07-24,0,unknown,I enjoyed spending time with friends
1646,I have no motivation anymore,2024-10-31,1,unknown,I have no motivation anymore
1174,I had a good conversation today,2024-11-02,0,unknown,I had a good conversation today
1160,I feel hopeless about my future,2024-03-30,1,unknown,I feel hopeless about my future
460,I feel empty inside,2024-08-05,1,unknown,I feel empty inside
1298,I enjoyed a nice walk outside,2024-04-10,0,unknown,I enjoyed a nice walk outside
118,I feel tired of everything,2024-01-01,1,unknown,I feel tired of everything
970,I watched a great movie today,2024-12-12,0,unknown,I watched a great movie today
925,I enjoyed a nice walk outside,2024-10-31,0,unknown,I enjoyed a nice walk outside
593,I watched a great movie today,2024-05-15,0,unknown,I watched a great movie today
1977,I love playing sports,2024-08-08,0,unknown,I love playing sports
415,Nothing makes me happy anymore,2024-09-23,1,unknown,Nothing makes me happy anymore
1611,I feel happy and motivated,2024-07-30,0,unknown,I feel happy and motivated
672,I have no motivation anymore,2024-04-07,1,unknown,I have no motivation anymore
506,I had a great day today,2024-05-14,0,unknown,I had a great day today
1239,I can't find joy in anything,2024-10-25,1,unknown,I can't find joy in anything
36,Nothing makes me happy anymore,2024-10-14,1,unknown,Nothing makes me happy anymore
1128,I feel hopeless about my future,2024-06-08,1,unknown,I feel hopeless about my future
231,I enjoyed a nice walk outside,2024-05-16,0,unknown,I enjoyed a nice walk outside
1728,I watched a great movie today,2024-07-14,0,unknown,I watched a great movie today
1561,Today was a relaxing day,2024-10-21,0,unknown,Today was a relaxing day
287,I have no motivation anymore,2024-02-27,1,unknown,I have no motivation anymore
154,I feel empty inside,2024-03-29,1,unknown,I feel empty inside
1922,I have no motivation anymore,2024-09-01,1,unknown,I have no motivation anymore
336,I feel like nobody understands me,2024-12-15,1,unknown,I feel like nobody understands me
545,I feel empty inside,2024-07-27,1,unknown,I feel empty inside
1364,Today was a relaxing day,2024-02-09,0,unknown,Today was a relaxing day
1779,Today was productive and fun,2024-10-07,0,unknown,Today was productive and fun
101,Nothing makes me happy anymore,2024-02-19,1,unknown,Nothing makes me happy anymore
164,I feel empty inside,2024-03-27,1,unknown,I feel empty inside
1592,Life feels meaningless,2024-05-19,1,unknown,Life feels meaningless
6,I love playing sports,2024-10-29,0,unknown,I love playing sports
1205,I feel hopeless about my future,2024-01-30,1,unknown,I feel hopeless about my future
1413,I watched a great movie today,2024-11-20,0,unknown,I watched a great movie today
769,I feel hopeless about my future,2024-09-30,1,unknown,I feel hopeless about my future
16,I love playing sports,2024-02-15,0,unknown,I love playing sports
221,I love playing sports,2024-10-10,0,unknown,I love playing sports
998,I had a great day today,2024-05-10,0,unknown,I had a great day today
827,I had a good conversation today,2024-03-17,0,unknown,I had a good conversation today
21,Today was productive and fun,2024-03-13,0,unknown,Today was productive and fun
200,I can't find joy in anything,2024-11-09,1,unknown,I can't find joy in anything
1166,I have no motivation anymore,2024-08-09,1,unknown,I have no motivation anymore
1413,I enjoyed spending time with friends,2024-01-17,0,unknown,I enjoyed spending time with friends
775,Today was productive and fun,2024-07-23,0,unknown,Today was productive and fun
1838,I feel like nobody understands me,2024-05-02,1,unknown,I feel like nobody understands me
1583,I watched a great movie today,2024-03-23,0,unknown,I watched a great movie today
1860,I have no motivation anymore,2024-10-10,1,unknown,I have no motivation anymore
1787,Life feels meaningless,2024-05-18,1,unknown,Life feels meaningless
1614,I feel very sad and lonely,2024-12-13,1,unknown,I feel very sad and lonely
626,I feel very sad and lonely,2024-09-30,1,unknown,I feel very sad and lonely
1698,Today was productive and fun,2024-08-12,0,unknown,Today was productive and fun
1347,I feel like nobody understands me,2024-07-20,1,unknown,I feel like nobody understands me
1122,I am excited about tomorrow,2024-05-18,0,unknown,I am excited about tomorrow
1228,I had a great day today,2024-11-14,0,unknown,I had a great day today
1066,I enjoyed spending time with friends,2024-10-28,0,unknown,I enjoyed spending time with friends
1074,I enjoyed a nice walk outside,2024-07-05,0,unknown,I enjoyed a nice walk outside
1356,I can't find joy in anything,2024-11-20,1,unknown,I can't find joy in anything
1273,Today was productive and fun,2024-04-30,0,unknown,Today was productive and fun
192,Life feels meaningless,2024-07-12,1,unknown,Life feels meaningless
905,I feel hopeless about my future,2024-04-15,1,unknown,I feel hopeless about my future
846,I feel tired of everything,2024-12-15,1,unknown,I feel tired of everything
1418,Nothing makes me happy anymore,2024-05-31,1,unknown,Nothing makes me happy anymore
1752,I feel empty inside,2024-07-13,1,unknown,I feel empty inside
340,I had a good conversation today,2024-02-18,0,unknown,I had a good conversation today
1347,I feel empty inside,2024-08-29,1,unknown,I feel empty inside
1623,I am excited about tomorrow,2024-05-08,0,unknown,I am excited about tomorrow
1020,I am excited about tomorrow,2024-02-25,0,unknown,I am excited about tomorrow
268,I enjoyed spending time with friends,2024-09-20,0,unknown,I enjoyed spending time with friends
1015,I feel very sad and lonely,2024-07-18,1,unknown,I feel very sad and lonely
1608,I feel happy and motivated,2024-09-18,0,unknown,I feel happy and motivated
1141,I feel tired of everything,2024-07-30,1,unknown,I feel tired of everything
1520,I have no motivation anymore,2024-10-18,1,unknown,I have no motivation anymore
321,I feel very sad and lonely,2024-04-27,1,unknown,I feel very sad and lonely
1152,I feel hopeless about my future,2024-06-08,1,unknown,I feel hopeless about my future
275,Nothing makes me happy anymore,2024-05-16,1,unknown,Nothing makes me happy anymore
347,I enjoyed spending time with friends,2024-07-28,0,unknown,I enjoyed spending time with friends
440,I feel empty inside,2024-06-07,1,unknown,I feel empty inside
1846,I watched a great movie today,2024-05-15,0,unknown,I watched a great movie today
591,I watched a great movie today,2024-01-07,0,unknown,I watched a great movie today
1205,I have no motivation anymore,2024-04-14,1,unknown,I have no motivation anymore
179,I can't find joy in anything,2024-05-22,1,unknown,I can't find joy in anything
808,I can't find joy in anything,2024-02-15,1,unknown,I can't find joy in anything
578,Today was productive and fun,2024-05-29,0,unknown,Today was productive and fun
1421,I have no motivation anymore,2024-06-14,1,unknown,I have no motivation anymore
1341,I feel happy and motivated,2024-01-13,0,unknown,I feel happy and motivated
303,I feel tired of everything,2024-12-01,1,unknown,I feel tired of everything
968,I can't find joy in anything,2024-04-20,1,unknown,I can't find joy in anything
1889,I have no motivation anymore,2024-08-20,1,unknown,I have no motivation anymore
1057,I enjoyed spending time with friends,2024-06-12,0,unknown,I enjoyed spending time with friends
1389,Today was a relaxing day,2024-11-22,0,unknown,Today was a relaxing day
319,I can't find joy in anything,2024-02-11,1,unknown,I can't find joy in anything
626,I feel empty inside,2024-06-20,1,unknown,I feel empty inside
590,I enjoyed spending time with friends,2024-03-13,0,unknown,I enjoyed spending time with friends
1143,I feel like nobody understands me,2024-01-30,1,unknown,I feel like nobody understands me
1025,I feel very sad and lonely,2024-10-31,1,unknown,I feel very sad and lonely
56,I enjoyed a nice walk outside,2024-01-29,0,unknown,I enjoyed a nice walk outside
426,Nothing makes me happy anymore,2024-10-22,1,unknown,Nothing makes me happy anymore
1369,I watched a great movie today,2024-07-26,0,unknown,I watched a great movie today
68,I watched a great movie today,2024-07-30,0,unknown,I watched a great movie today
181,Nothing makes me happy anymore,2024-04-19,1,unknown,Nothing makes me happy anymore
706,Today was a relaxing day,2024-10-01,0,unknown,Today was a relaxing day
820,I had a great day today,2024-02-16,0,unknown,I had a great day today
1608,I feel very sad and lonely,2024-03-02,1,unknown,I feel very sad and lonely
338,Nothing makes me happy anymore,2024-09-22,1,unknown,Nothing makes me happy anymore
1726,Today was a relaxing day,2024-11-30,0,unknown,Today was a relaxing day
1160,I feel like nobody understands me,2024-08-01,1,unknown,I feel like nobody understands me
679,I feel very sad and lonely,2024-01-21,1,unknown,I feel very sad and lonely
663,I feel very lonely these days,2024-11-08,1,unknown,I feel very lonely these days
916,Nothing makes me happy anymore,2024-12-13,1,unknown,Nothing makes me happy anymore
1724,I feel very lonely these days,2024-01-13,1,unknown,I feel very lonely these days
1563,I enjoyed spending time with friends,2024-05-26,0,unknown,I enjoyed spending time with friends
547,I watched a great movie today,2024-06-09,0,unknown,I watched a great movie today
527,I had a good conversation today,2024-09-13,0,unknown,I had a good conversation today
1505,I feel like nobody understands me,2024-07-21,1,unknown,I feel like nobody understands me
536,I love playing sports,2024-03-01,0,unknown,I love playing sports
17,I have no motivation anymore,2024-09-26,1,unknown,I have no motivation anymore
222,I am excited about tomorrow,2024-02-15,0,unknown,I am excited about tomorrow
411,I enjoyed a nice walk outside,2024-10-12,0,unknown,I enjoyed a nice walk outside
1832,I feel hopeless about my future,2024-06-05,1,unknown,I feel hopeless about my future
1135,I enjoyed spending time with friends,2024-12-30,0,unknown,I enjoyed spending time with friends
926,I love playing sports,2024-01-12,0,unknown,I love playing sports
1361,I enjoyed a nice walk outside,2024-05-01,0,unknown,I enjoyed a nice walk outside
292,I had a great day today,2024-01-12,0,unknown,I had a great day today
223,I am excited about tomorrow,2024-07-17,0,unknown,I am excited about tomorrow
746,I feel empty inside,2024-12-26,1,unknown,I feel empty inside
1574,I feel hopeless about my future,2024-01-06,1,unknown,I feel hopeless about my future
1707,I feel like nobody understands me,2024-03-03,1,unknown,I feel like nobody understands me
1425,I can't find joy in anything,2024-07-03,1,unknown,I can't find joy in anything
689,I have no motivation anymore,2024-01-17,1,unknown,I have no motivation anymore
1257,I have no motivation anymore,2024-06-03,1,unknown,I have no motivation anymore
188,Today was productive and fun,2024-02-18,0,unknown,Today was productive and fun
588,Nothing makes me happy anymore,2024-08-27,1,unknown,Nothing makes me happy anymore
1694,I feel hopeless about my future,2024-11-09,1,unknown,I feel hopeless about my future
481,Today was a relaxing day,2024-05-25,0,unknown,Today was a relaxing day
1682,Today was productive and fun,2024-10-02,0,unknown,Today was productive and fun
1919,I feel happy and motivated,2024-08-19,0,unknown,I feel happy and motivated
240,Today was productive and fun,2024-11-28,0,unknown,Today was productive and fun
546,I can't find joy in anything,2024-11-03,1,unknown,I can't find joy in anything
1507,I feel like nobody understands me,2024-10-29,1,unknown,I feel like nobody understands me
972,I feel very sad and lonely,2024-05-08,1,unknown,I feel very sad and lonely
1600,I am excited about tomorrow,2024-12-28,0,unknown,I am excited about tomorrow
229,Today was productive and fun,2024-08-19,0,unknown,Today was productive and fun
1277,Life feels meaningless,2024-05-05,1,unknown,Life feels meaningless
656,I have no motivation anymore,2024-07-25,1,unknown,I have no motivation anymore
634,I feel very sad and lonely,2024-02-20,1,unknown,I feel very sad and lonely
1101,Today was productive and fun,2024-10-08,0,unknown,Today was productive and fun
811,I had a great day today,2024-01-22,0,unknown,I had a great day today
1220,I feel empty inside,2024-12-10,1,unknown,I feel empty inside
1270,I feel happy and motivated,2024-12-12,0,unknown,I feel happy and motivated
1633,I can't find joy in anything,2024-12-26,1,unknown,I can't find joy in anything
1042,Today was productive and fun,2024-10-07,0,unknown,Today was productive and fun
830,Today was a relaxing day,2024-12-01,0,unknown,Today was a relaxing day
143,I can't find joy in anything,2024-10-10,1,unknown,I can't find joy in anything
1846,I enjoyed spending time with friends,2024-05-07,0,unknown,I enjoyed spending time with friends
1712,I feel happy and motivated,2024-06-06,0,unknown,I feel happy and motivated
757,I feel like nobody understands me,2024-05-07,1,unknown,I feel like nobody understands me
196,I had a great day today,2024-06-15,0,unknown,I had a great day today
980,I can't find joy in anything,2024-10-21,1,unknown,I can't find joy in anything
306,I had a great day today,2024-01-19,0,unknown,I had a great day today
1133,I feel empty inside,2024-09-03,1,unknown,I feel empty inside
438,Nothing makes me happy anymore,2024-09-04,1,unknown,Nothing makes me happy anymore
1197,I feel like nobody understands me,2024-11-04,1,unknown,I feel like nobody understands me
178,I have no motivation anymore,2024-06-03,1,unknown,I have no motivation anymore
1080,I feel empty inside,2024-07-25,1,unknown,I feel empty inside
107,I love playing sports,2024-05-26,0,unknown,I love playing sports
1747,I feel tired of everything,2024-06-19,1,unknown,I feel tired of everything
606,I had a great day today,2024-09-11,0,unknown,I had a great day today
24,I feel happy and motivated,2024-09-05,0,unknown,I feel happy and motivated
344,I watched a great movie today,2024-01-31,0,unknown,I watched a great movie today
744,Life feels meaningless,2024-07-14,1,unknown,Life feels meaningless
289,I love playing sports,2024-09-28,0,unknown,I love playing sports
1441,I feel tired of everything,2024-12-08,1,unknown,I feel tired of everything
376,I had a great day today,2024-05-11,0,unknown,I had a great day today
402,I feel happy and motivated,2024-02-27,0,unknown,I feel happy and motivated
550,I feel empty inside,2024-02-25,1,unknown,I feel empty inside
109,Today was productive and fun,2024-02-03,0,unknown,Today was productive and fun
1658,I had a good conversation today,2024-01-02,0,unknown,I had a good conversation today
1058,I am excited about tomorrow,2024-03-14,0,unknown,I am excited about tomorrow
328,I feel empty inside,2024-12-23,1,unknown,I feel empty inside
1208,I feel happy and motivated,2024-09-03,0,unknown,I feel happy and motivated
827,I love playing sports,2024-12-15,0,unknown,I love playing sports
380,I feel tired of everything,2024-08-07,1,unknown,I feel tired of everything
452,Life feels meaningless,2024-04-19,1,unknown,Life feels meaningless
535,Today was a relaxing day,2024-12-28,0,unknown,Today was a relaxing day
1630,I feel tired of everything,2024-08-02,1,unknown,I feel tired of everything
466,I enjoyed spending time with friends,2024-09-24,0,unknown,I enjoyed spending time with friends
331,I love playing sports,2024-05-25,0,unknown,I love playing sports
895,I feel hopeless about my future,2024-12-03,1,unknown,I feel hopeless about my future
404,Today was a relaxing day,2024-01-20,0,unknown,Today was a relaxing day
90,I can't find joy in anything,2024-08-05,1,unknown,I can't find joy in anything
1627,I feel hopeless about my future,2024-11-20,1,unknown,I feel hopeless about my future
854,I feel like nobody understands me,2024-01-11,1,unknown,I feel like nobody understands me
500,Today was productive and fun,2024-01-19,0,unknown,Today was productive and fun
1638,I love playing sports,2024-06-23,0,unknown,I love playing sports
417,I have no motivation anymore,2024-01-17,1,unknown,I have no motivation anymore
1667,I feel tired of everything,2024-09-15,1,unknown,I feel tired of everything
1847,Nothing makes me happy anymore,2024-06-01,1,unknown,Nothing makes me happy anymore
1190,Life feels meaningless,2024-09-30,1,unknown,Life feels meaningless
124,I have no motivation anymore,2024-09-27,1,unknown,I have no motivation anymore
968,I feel hopeless about my future,2024-11-18,1,unknown,I feel hopeless about my future
413,I feel hopeless about my future,2024-12-21,1,unknown,I feel hopeless about my future
65,I watched a great movie today,2024-07-07,0,unknown,I watched a great movie today
527,I feel hopeless about my future,2024-12-25,1,unknown,I feel hopeless about my future
761,Today was productive and fun,2024-06-13,0,unknown,Today was productive and fun
226,I love playing sports,2024-07-30,0,unknown,I love playing sports
1627,I feel happy and motivated,2024-12-13,0,unknown,I feel happy and motivated
1790,I feel happy and motivated,2024-12-08,0,unknown,I feel happy and motivated
1077,I enjoyed spending time with friends,2024-11-11,0,unknown,I enjoyed spending time with friends
1220,I watched a great movie today,2024-03-14,0,unknown,I watched a great movie today
1406,I have no motivation anymore,2024-05-07,1,unknown,I have no motivation anymore
42,I feel happy and motivated,2024-10-04,0,unknown,I feel happy and motivated
1291,I have no motivation anymore,2024-04-11,1,unknown,I have no motivation anymore
1968,I am excited about tomorrow,2024-10-19,0,unknown,I am excited about tomorrow
1649,Today was a relaxing day,2024-07-23,0,unknown,Today was a relaxing day
145,I had a great day today,2024-03-19,0,unknown,I had a great day today
1805,I have no motivation anymore,2024-01-23,1,unknown,I have no motivation anymore
387,Nothing makes me happy anymore,2024-05-21,1,unknown,Nothing makes me happy anymore
1975,I feel hopeless about my future,2024-04-15,1,unknown,I feel hopeless about my future
395,I am excited about tomorrow,2024-10-11,0,unknown,I am excited about tomorrow
1979,I feel very lonely these days,2024-11-19,1,unknown,I feel very lonely these days
4,I have no motivation anymore,2024-08-31,1,unknown,I have no motivation anymore
1321,I had a great day today,2024-02-28,0,unknown,I had a great day today
498,I had a good conversation today,2024-11-10,0,unknown,I had a good conversation today
1722,Today was a relaxing day,2024-03-08,0,unknown,Today was a relaxing day
1059,Nothing makes me happy anymore,2024-04-29,1,unknown,Nothing makes me happy anymore
186,Today was a relaxing day,2024-04-25,0,unknown,Today was a relaxing day
1012,Nothing makes me happy anymore,2024-12-18,1,unknown,Nothing makes me happy anymore
1676,I love playing sports,2024-07-16,0,unknown,I love playing sports
