user_id,window_id,domain,label,window_start,window_end,text,n_posts
1,0,unknown,0,2024-04-28,2024-04-28,Today was productive and fun,1
1,0,unknown,1,2024-04-28,2024-04-28,I feel hopeless about my future,1
1,3,unknown,1,2024-06-14,2024-06-14,I can't find joy in anything,1
1,11,unknown,0,2024-10-10,2024-10-10,I feel happy and motivated,1
1,15,unknown,1,2024-11-29,2024-11-29,I feel hopeless about my future,1
1,17,unknown,1,2024-12-30,2024-12-30,Life feels meaningless,1
2,0,unknown,1,2024-03-11,2024-03-11,I feel empty inside,1
2,6,unknown,0,2024-06-07,2024-06-07,I love playing sports,1
2,20,unknown,1,2024-12-18,2024-12-18,I feel very lonely these days,1
3,0,unknown,0,2024-09-15,2024-09-15,I enjoyed a nice walk outside,1
3,7,unknown,0,2024-12-28,2024-12-28,I watched a great movie today,1
4,0,unknown,1,2024-02-08,2024-02-08,Nothing makes me happy anymore,1
4,2,unknown,0,2024-03-09,2024-03-09,Today was productive and fun,1
4,7,unknown,0,2024-05-19,2024-05-19,I enjoyed a nice walk outside,1
4,9,unknown,0,2024-06-13,2024-06-13,I love playing sports,1
4,14,unknown,1,2024-08-31,2024-08-31,I have no motivation anymore,1
4,18,unknown,1,2024-10-25,2024-10-25,I feel empty inside,1
4,19,unknown,0,2024-11-03,2024-11-03,I am excited about tomorrow,1
5,0,unknown,1,2024-05-01,2024-05-01,Life feels meaningless,1
5,1,unknown,0,2024-05-16,2024-05-18,I am excited about tomorrow </s> I had a good conversation today,2
5,1,unknown,1,2024-05-22,2024-05-22,I feel like nobody understands me,1
5,2,unknown,0,2024-06-05,2024-06-05,Today was a relaxing day,1
5,6,unknown,0,2024-07-28,2024-07-28,I feel happy and motivated,1
5,10,unknown,1,2024-09-26,2024-09-26,I feel empty inside,1
5,13,unknown,1,2024-11-10,2024-11-10,I feel empty inside,1
5,14,unknown,0,2024-11-15,2024-11-15,I love playing sports,1
5,15,unknown,0,2024-12-10,2024-12-10,I had a great day today,1
6,0,unknown,0,2024-01-07,2024-01-07,I watched a great movie today,1
6,1,unknown,0,2024-01-28,2024-01-28,I had a great day today,1
6,17,unknown,1,2024-09-11,2024-09-11,I feel very lonely these days,1
6,21,unknown,0,2024-10-29,2024-10-29,I love playing sports,1
7,0,unknown,0,2024-07-07,2024-07-07,I feel happy and motivated,1
8,0,unknown,1,2024-03-17,2024-03-17,Life feels meaningless,1
8,8,unknown,1,2024-07-10,2024-07-10,I feel empty inside,1
8,13,unknown,0,2024-09-22,2024-09-22,I am excited about tomorrow,1
8,19,unknown,0,2024-12-09,2024-12-10,I enjoyed a nice walk outside </s> I enjoyed a nice walk outside,2
8,20,unknown,1,2024-12-26,2024-12-26,I feel hopeless about my future,1
9,0,unknown,1,2024-03-02,2024-03-02,I feel tired of everything,1
9,15,unknown,1,2024-10-09,2024-10-09,Life feels meaningless,1
9,19,unknown,1,2024-11-24,2024-11-24,I feel very lonely these days,1
9,20,unknown,1,2024-12-09,2024-12-09,I feel very lonely these days,1
10,0,unknown,0,2024-01-24,2024-01-30,I am excited about tomorrow </s> I had a great day today,2
10,6,unknown,1,2024-04-27,2024-04-27,I have no motivation anymore,1
11,0,unknown,0,2024-10-18,2024-10-18,I had a great day today,1
12,0,unknown,0,2024-01-14,2024-01-14,I love playing sports,1
12,6,unknown,1,2024-04-12,2024-04-12,I feel very lonely these days,1
12,12,unknown,1,2024-07-13,2024-07-13,I feel like nobody understands me,1
12,16,unknown,1,2024-09-07,2024-09-07,I feel empty inside,1
13,0,unknown,0,2024-01-12,2024-01-12,I had a great day today,1
13,1,unknown,0,2024-02-07,2024-02-07,I am excited about tomorrow,1
13,8,unknown,1,2024-05-14,2024-05-14,I feel like nobody understands me,1
13,18,unknown,1,2024-09-20,2024-09-20,I feel very sad and lonely,1
13,24,unknown,1,2024-12-16,2024-12-16,I feel very lonely these days,1
14,0,unknown,0,2024-04-16,2024-04-16,I feel happy and motivated,1
14,6,unknown,0,2024-07-11,2024-07-11,I enjoyed spending time with friends,1
14,7,unknown,0,2024-07-23,2024-07-23,Today was a relaxing day,1
14,10,unknown,0,2024-09-12,2024-09-12,I watched a great movie today,1
15,0,unknown,1,2024-02-14,2024-02-14,Nothing makes me happy anymore,1
15,7,unknown,0,2024-05-27,2024-05-27,Today was productive and fun,1
15,8,unknown,1,2024-06-09,2024-06-09,I feel tired of everything,1
15,9,unknown,1,2024-06-29,2024-06-29,Nothing makes me happy anymore,1
15,22,unknown,1,2024-12-24,2024-12-24,I feel very lonely these days,1
16,0,unknown,0,2024-02-15,2024-02-15,I love playing sports,1
16,11,unknown,0,2024-07-19,2024-07-19,I love playing sports,1
16,15,unknown,0,2024-09-22,2024-09-22,I enjoyed a nice walk outside,1
16,17,unknown,1,2024-10-13,2024-10-13,I have no motivation anymore,1
16,19,unknown,0,2024-11-09,2024-11-09,Today was productive and fun,1
17,0,unknown,1,2024-09-26,2024-09-26,I have no motivation anymore,1
17,2,unknown,1,2024-11-04,2024-11-04,I feel hopeless about my future,1
18,0,unknown,1,2024-02-20,2024-02-20,Life feels meaningless,1
18,16,unknown,0,2024-10-08,2024-10-08,I enjoyed spending time with friends,1
18,17,unknown,1,2024-10-16,2024-10-16,I feel empty inside,1
19,0,unknown,1,2024-01-24,2024-01-24,I have no motivation anymore,1
19,4,unknown,0,2024-03-25,2024-03-25,I had a good conversation today,1
19,12,unknown,1,2024-07-10,2024-07-22,I feel tired of everything </s> I feel hopeless about my future,2
19,16,unknown,1,2024-09-13,2024-09-13,Life feels meaningless,1
19,23,unknown,0,2024-12-11,2024-12-21,I had a good conversation today </s> I feel happy and motivated,2
20,0,unknown,0,2024-02-05,2024-02-05,I had a great day today,1
20,2,unknown,1,2024-03-07,2024-03-07,I feel very sad and lonely,1
20,5,unknown,0,2024-04-17,2024-04-17,I had a great day today,1
20,11,unknown,0,2024-07-08,2024-07-08,Today was a relaxing day,1
20,12,unknown,1,2024-07-23,2024-07-28,I feel tired of everything </s> I feel empty inside,2
20,17,unknown,0,2024-10-05,2024-10-05,I am excited about tomorrow,1
21,0,unknown,0,2024-01-06,2024-01-06,I am excited about tomorrow,1
21,4,unknown,0,2024-03-13,2024-03-13,Today was productive and fun,1
21,5,unknown,1,2024-03-24,2024-03-24,I feel very lonely these days,1
21,9,unknown,0,2024-05-22,2024-05-22,I am excited about tomorrow,1
21,13,unknown,1,2024-07-11,2024-07-11,I feel hopeless about my future,1
21,15,unknown,1,2024-08-10,2024-08-10,I feel tired of everything,1
21,17,unknown,1,2024-08-31,2024-08-31,I feel very lonely these days,1
21,21,unknown,0,2024-10-28,2024-10-28,I enjoyed a nice walk outside,1
22,0,unknown,0,2024-02-14,2024-02-22,I enjoyed a nice walk outside </s> I feel happy and motivated,2
22,1,unknown,1,2024-03-07,2024-03-07,I feel hopeless about my future,1
22,2,unknown,1,2024-03-25,2024-03-25,I feel hopeless about my future,1
22,3,unknown,0,2024-03-27,2024-03-31,I am excited about tomorrow </s> I love playing sports,2
22,10,unknown,0,2024-07-13,2024-07-13,I had a good conversation today,1
22,13,unknown,0,2024-08-15,2024-08-15,I had a good conversation today,1
22,14,unknown,0,2024-09-01,2024-09-01,I enjoyed a nice walk outside,1
22,16,unknown,0,2024-10-01,2024-10-01,Today was productive and fun,1
23,0,unknown,0,2024-03-29,2024-03-29,I am excited about tomorrow,1
23,2,unknown,1,2024-04-28,2024-04-28,I have no motivation anymore,1
23,5,unknown,0,2024-06-14,2024-06-15,I feel happy and motivated </s> I feel happy and motivated,2
23,9,unknown,1,2024-08-08,2024-08-08,I feel tired of everything,1
23,16,unknown,1,2024-11-15,2024-11-15,Life feels meaningless,1
23,18,unknown,0,2024-12-07,2024-12-07,I feel happy and motivated,1
23,18,unknown,1,2024-12-15,2024-12-15,I feel very lonely these days,1
26,0,unknown,0,2024-02-28,2024-02-28,I feel happy and motivated,1
26,14,unknown,0,2024-09-23,2024-09-23,Today was productive and fun,1
26,20,unknown,1,2024-12-17,2024-12-17,Life feels meaningless,1
27,0,unknown,0,2024-01-16,2024-01-16,I am excited about tomorrow,1
27,0,unknown,1,2024-01-27,2024-01-27,I feel empty inside,1
27,6,unknown,1,2024-04-09,2024-04-09,Nothing makes me happy anymore,1
27,8,unknown,0,2024-05-17,2024-05-17,I feel happy and motivated,1
27,9,unknown,0,2024-05-25,2024-05-25,I am excited about tomorrow,1
27,11,unknown,1,2024-06-27,2024-06-27,I feel empty inside,1
27,14,unknown,1,2024-08-09,2024-08-09,I feel like nobody understands me,1
28,0,unknown,0,2024-02-23,2024-02-23,I watched a great movie today,1
28,2,unknown,0,2024-03-23,2024-03-23,I am excited about tomorrow,1
28,16,unknown,0,2024-10-11,2024-10-11,Today was a relaxing day,1
28,16,unknown,1,2024-10-16,2024-10-16,I feel hopeless about my future,1
28,20,unknown,0,2024-12-03,2024-12-03,I enjoyed a nice walk outside,1
29,0,unknown,0,2024-08-09,2024-08-09,I had a great day today,1
29,4,unknown,0,2024-10-14,2024-10-14,I feel happy and motivated,1
29,6,unknown,1,2024-11-02,2024-11-02,I feel very lonely these days,1
29,9,unknown,1,2024-12-25,2024-12-25,I feel like nobody understands me,1
32,0,unknown,1,2024-01-02,2024-01-02,I have no motivation anymore,1
